Screen Type 	PLS LCD
Backlight Type 	LED
Screen Size 	27 Inches
Aspect Ratio 	Widescreen (16:9)
Native Resolution 	2560x1440 (HDMI/DisplayPort/Dual-link DVI), 1920x1080 (D-sub)
Response Time 	5 ms
Pixel Pitch 	.233 mm (0.0 in)
Dynamic Contrast Ratio 	80000000 :1
Max Brightness 	300 cd/m^2
Color Gamut 	100%(sRGB)
Display Colors 	16.7M (real 8 bit)
VESA Mounting 	100x100mm
VGA 	Yes
DVI 	Yes
HDMI 	Yes
DisplayPort 	Yes
HDCP Compliant 	Yes
Component 	No
Built-in Speakers 	Yes
Built-in Webcam 	No
Width 	643 mm (25.3 in)
Height 	552.3 mm (21.7 in)
Depth 	218 mm (8.6 in)
